Author	n (strains)	publication title	journal	publication URL	strains
Tao et al	3	unknown	unknown	unknown	USA/AZ1/2020,USA/IL1/2020,USA/CA5/2020
Tan et al	8	unknown	unknown	unknown	Yunnan/IVDC-YN-003/2020,Sichuan/IVDC-SC-001/2020,Wuhan/IVDC-HB-04/2020,Wuhan/IVDC-HB-05/2019,Jiangxi/IVDC-JX-002/2020,Wuhan/IVDC-HB-01/2019,Chongqing/IVDC-CQ-001/2020,Jiangsu/IVDC-JS-001/2020
Uehara et al	2	unknown	unknown	unknown	USA/CA1/2020,USA/CA2/2020
Sheng et al	2	unknown	unknown	unknown	Chongqing/YC01/2020,Chongqing/ZX01/2020
Wei et al	2	unknown	unknown	unknown	Fujian/8/2020,Fujian/13/2020
Queen et al	3	unknown	unknown	unknown	USA/WA1/2020,USA/CA3/2020,USA/CA4/2020
Huang et al	4	unknown	unknown	unknown	Australia/QLD03/2020,Australia/QLD02/2020,Australia/QLD04/2020,Australia/QLD01/2020
Chan et al	2	unknown	unknown	unknown	Shenzhen/HKU-SZ-005/2020,Shenzhen/HKU-SZ-002/2020
Sekizuka et al	7	unknown	unknown	unknown	Japan/TY-WK-012/2020,Japan/TY-WK-501/2020,Japan/TY-WK-521/2020,Japan/AI/I-004/2020,Japan/KY-V-029/2020,Japan/NA-20-05-1/2020,Japan/OS-20-07-1/2020
Kang et al	12	unknown	unknown	unknown	Guangdong/20SF012/2020,Guangdong/20SF025/2020,Guangdong/20SF013/2020,Guangzhou/20SF206/2020,Foshan/20SF207/2020,Guangdong/20SF014/2020,Foshan/20SF211/2020,Foshan/20SF210/2020,Guangdong/20SF028/2020,Guangdong/20SF174/2020,Guangdong/20SF040/2020,Guangdong/20SF201/2020
Yang et al	5	unknown	unknown	unknown	Shenzhen/SZTH-002/2020,Taiwan/3/2020,Shenzhen/SZTH-003/2020,Taiwan/2/2020,Taiwan/4/2020
Kim et al	1	unknown	unknown	unknown	SouthKorea/KCDC03/2020
Vanmechelen et al	1	unknown	unknown	unknown	Belgium/GHB-03021/2020
Galiano et al	2	unknown	unknown	unknown	England/01/2020,England/02/2020
Chen et al	7	unknown	unknown	unknown	Wuhan/WH04/2020,Wuhan/WH01/2019,Wuhan/WH05/2020,Wuhan/WH03/2020,Zhejiang/WZ-01/2020,China/WHU01/2020,China/WHU02/2020
Eden et al	1	unknown	unknown	unknown	Australia/NSW01/2020
Yeh et al	2	unknown	unknown	unknown	Taiwan/NTU01/2020,Taiwan/NTU02/2020
Corman et al	1	unknown	unknown	unknown	Germany/BavPat1/2020
Rockett et al	1	unknown	unknown	unknown	Sydney/2/2020
Liu et al	1	unknown	unknown	unknown	Wuhan/IVDC-HB-envF13/2020
Bal et al	1	unknown	unknown	unknown	France/RA739/2020
Zhou et al	5	unknown	unknown	unknown	Wuhan/WIV07/2019,Wuhan/WIV05/2019,Wuhan/WIV02/2019,Wuhan/WIV06/2019,Wuhan/WIV04/2019
Ren et al	4	unknown	unknown	unknown	Wuhan/IPBCAMS-WH-03/2019,Wuhan/IPBCAMS-WH-01/2019,Wuhan/IPBCAMS-WH-02/2019,Wuhan/IPBCAMS-WH-04/2019
Fang et al	1	unknown	unknown	unknown	Wuhan/HBCDC-HB-01/2019
Paden et al	1	unknown	unknown	unknown	USA/MA1/2020
Sah et al	1	unknown	unknown	unknown	Nepal/61/2020
Caly et al	1	unknown	unknown	unknown	Australia/VIC01/2020
Capobianchi et al	1	unknown	unknown	unknown	Italy/INMI1-cs/2020
Albert et al	4	unknown	unknown	unknown	France/IDF0373/2020,France/IDF0372/2020,France/IDF0626/2020,France/IDF0515/2020
Terrier et al	1	unknown	unknown	unknown	France/IDF0386-islP1/2020
Octavia et al	5	unknown	unknown	unknown	Singapore/7/2020,Singapore/8/2020,Singapore/9/2020,Singapore/10/2020,Singapore/11/2020
Anderson et al	4	unknown	unknown	unknown	Singapore/5/2020,Singapore/2/2020,Singapore/6/2020,Singapore/3/2020
Zhang et al	4	unknown	unknown	unknown	USA/WI1/2020,Wuhan-Hu-1/2019,Zhejiang/WZ-02/2020,USA/CA6/2020
Karlsson et al	1	unknown	unknown	unknown	Cambodia/0012/2020
Mak et al	1	unknown	unknown	unknown	Singapore/1/2020
Pilailuk et al	2	unknown	unknown	unknown	Nonthaburi/74/2020,Nonthaburi/61/2020
Li et al	1	unknown	unknown	unknown	Hangzhou/HZCDC0001/2020
Tsao et al	1	unknown	unknown	unknown	Taiwan/CGMH-CGU-01/2020
Smura et al	1	unknown	unknown	unknown	Finland/1/2020
Hua et al	1	unknown	unknown	unknown	Hangzhou/HZ-1/2020